iters	scheduling	tab_size	time
5	static,1	20000	0m0.014s
6	static,1	20000	0m0.023s
7	static,1	20000	0m0.031s
8	static,1	20000	0m0.027s
9	static,1	20000	0m0.017s
0	static,1	200000	0m0.020s
1	static,1	200000	0m0.015s
2	static,1	200000	0m0.031s
3	static,1	200000	0m0.025s
4	static,1	200000	0m0.017s
5	static,1	200000	0m0.019s
6	static,1	200000	0m0.025s
7	static,1	200000	0m0.044s
8	static,1	200000	0m0.022s
9	static,1	200000	0m0.030s
0	static,1	2000000	0m0.062s
1	static,1	2000000	0m0.069s
2	static,1	2000000	0m0.060s
3	static,1	2000000	0m0.057s
4	static,1	2000000	0m0.054s
5	static,1	2000000	0m0.063s
6	static,1	2000000	0m0.074s
7	static,1	2000000	0m0.058s
8	static,1	2000000	0m0.058s
9	static,1	2000000	0m0.065s
0	static,1	20000000	0m0.372s
1	static,1	20000000	0m0.349s
2	static,1	20000000	0m0.332s
3	static,1	20000000	0m0.273s
4	static,1	20000000	0m0.198s
5	static,1	20000000	0m0.197s
6	static,1	20000000	0m0.210s
7	static,1	20000000	0m0.200s
8	static,1	20000000	0m0.196s
9	static,1	20000000	0m0.210s
0	static,1	200000000	0m2.154s
1	static,1	200000000	0m2.150s
2	static,1	200000000	0m2.168s
3	static,1	200000000	0m2.166s
4	static,1	200000000	0m2.227s
5	static,1	200000000	0m2.197s
6	static,1	200000000	0m2.159s
7	static,1	200000000	0m2.120s
8	static,1	200000000	0m2.198s
9	static,1	200000000	0m2.141s
0	dynamic,4	2	0m0.003s
1	dynamic,4	2	0m0.002s
2	dynamic,4	2	0m0.004s
3	dynamic,4	2	0m0.002s
4	dynamic,4	2	0m0.002s
5	dynamic,4	2	0m0.002s
6	dynamic,4	2	0m0.002s
7	dynamic,4	2	0m0.002s
8	dynamic,4	2	0m0.008s
9	dynamic,4	2	0m0.002s
0	dynamic,4	20	0m0.009s
1	dynamic,4	20	0m0.010s
2	dynamic,4	20	0m0.008s
3	dynamic,4	20	0m0.009s
4	dynamic,4	20	0m0.008s
5	dynamic,4	20	0m0.002s
6	dynamic,4	20	0m0.002s
7	dynamic,4	20	0m0.002s
8	dynamic,4	20	0m0.002s
9	dynamic,4	20	0m0.002s
0	dynamic,4	200	0m0.002s
1	dynamic,4	200	0m0.011s
2	dynamic,4	200	0m0.009s
3	dynamic,4	200	0m0.002s
4	dynamic,4	200	0m0.004s
5	dynamic,4	200	0m0.002s
6	dynamic,4	200	0m0.002s
7	dynamic,4	200	0m0.002s
8	dynamic,4	200	0m0.002s
9	dynamic,4	200	0m0.002s
0	dynamic,4	2000	0m0.002s
1	dynamic,4	2000	0m0.002s
2	dynamic,4	2000	0m0.002s
3	dynamic,4	2000	0m0.002s
4	dynamic,4	2000	0m0.002s
5	dynamic,4	2000	0m0.002s
6	dynamic,4	2000	0m0.008s
7	dynamic,4	2000	0m0.005s
8	dynamic,4	2000	0m0.010s
9	dynamic,4	2000	0m0.010s
0	dynamic,4	20000	0m0.010s
1	dynamic,4	20000	0m0.003s
2	dynamic,4	20000	0m0.003s
3	dynamic,4	20000	0m0.004s
4	dynamic,4	20000	0m0.003s
5	dynamic,4	20000	0m0.004s
6	dynamic,4	20000	0m0.003s
7	dynamic,4	20000	0m0.003s
8	dynamic,4	20000	0m0.003s
9	dynamic,4	20000	0m0.003s
0	dynamic,4	200000	0m0.005s
1	dynamic,4	200000	0m0.006s
2	dynamic,4	200000	0m0.005s
3	dynamic,4	200000	0m0.007s
4	dynamic,4	200000	0m0.014s
5	dynamic,4	200000	0m0.012s
6	dynamic,4	200000	0m0.015s
7	dynamic,4	200000	0m0.005s
8	dynamic,4	200000	0m0.005s
9	dynamic,4	200000	0m0.005s
0	dynamic,4	2000000	0m0.029s
1	dynamic,4	2000000	0m0.029s
2	dynamic,4	2000000	0m0.030s
3	dynamic,4	2000000	0m0.032s
4	dynamic,4	2000000	0m0.032s
5	dynamic,4	2000000	0m0.029s
6	dynamic,4	2000000	0m0.028s
7	dynamic,4	2000000	0m0.028s
8	dynamic,4	2000000	0m0.026s
9	dynamic,4	2000000	0m0.034s
0	dynamic,4	20000000	0m0.265s
1	dynamic,4	20000000	0m0.259s
2	dynamic,4	20000000	0m0.264s
3	dynamic,4	20000000	0m0.260s
4	dynamic,4	20000000	0m0.266s
5	dynamic,4	20000000	0m0.261s
6	dynamic,4	20000000	0m0.250s
7	dynamic,4	20000000	0m0.249s
8	dynamic,4	20000000	0m0.264s
9	dynamic,4	20000000	0m0.263s
0	dynamic,4	200000000	0m2.653s
1	dynamic,4	200000000	0m2.604s
2	dynamic,4	200000000	0m2.598s
3	dynamic,4	200000000	0m2.596s
4	dynamic,4	200000000	0m2.464s
5	dynamic,4	200000000	0m2.443s
6	dynamic,4	200000000	0m2.572s
7	dynamic,4	200000000	0m2.470s
8	dynamic,4	200000000	0m2.322s
9	dynamic,4	200000000	0m2.067s
0	static,4	2	0m0.012s
1	static,4	2	0m0.012s
2	static,4	2	0m0.012s
3	static,4	2	0m0.008s
4	static,4	2	0m0.008s
5	static,4	2	0m0.008s
6	static,4	2	0m0.007s
7	static,4	2	0m0.002s
8	static,4	2	0m0.002s
9	static,4	2	0m0.002s
0	static,4	20	0m0.002s
1	static,4	20	0m0.007s
2	static,4	20	0m0.002s
3	static,4	20	0m0.010s
4	static,4	20	0m0.006s
5	static,4	20	0m0.009s
6	static,4	20	0m0.009s
7	static,4	20	0m0.010s
8	static,4	20	0m0.009s
9	static,4	20	0m0.004s
0	static,4	200	0m0.008s
1	static,4	200	0m0.011s
2	static,4	200	0m0.003s
3	static,4	200	0m0.003s
4	static,4	200	0m0.002s
5	static,4	200	0m0.003s
6	static,4	200	0m0.003s
7	static,4	200	0m0.007s
8	static,4	200	0m0.002s
9	static,4	200	0m0.002s
0	static,4	2000	0m0.004s
1	static,4	2000	0m0.002s
2	static,4	2000	0m0.003s
3	static,4	2000	0m0.007s
